date,text,category,start_lat,start_lon,end_lat,end_lon,categories_standard
9/1/2021,account_/_profile__l ogin_issues 8541,Account Issues,,,,,Account Issues
9/1/2021,Wonâ€™t let me sign up account_/_profile__l ogin_issues 1795,Account Issues,,,,,Account Issues
9/1/2021,account_/_profile__l ogin_issues 769,Account Issues,,,,,Account Issues
9/1/2021,Phone Call from: Caller +1 (561) 416‐ 2905 account_/_profile__l ogin_issues 5,Account Issues,,,,,Account Issues
9/1/2021,I haven't been able to start any rides on my Lime app account_/_profile__l ogin_issues 774,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 1258,Account Issues,,,,,Account Issues
9/1/2021,Phone Call from: Caller +1 (512) 822‐ 9077 account/profile__cha nge_account_/_bank _details 6,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 4196,Account Issues,,,,,Account Issues
9/1/2021,Unpaid charge tasks Monday September 6th ‐ manual drop off account/profile__cha nge_account_/_bank _details 1486,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 929,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 69,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 467,Account Issues,,,,,Account Issues
9/1/2021,Missing a line in my pay out account/profile__cha nge_account_/_bank _details 4459,Account Issues,,,,,Account Issues
9/1/2021,Update account and payment account/profile__cha nge_account_/_bank _details 1725,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 1689,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 974,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 588,Account Issues,,,,,Account Issues
9/1/2021,Issue charging scooter 701‐839 account/profile__cha nge_account_/_bank _details 17,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 745,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 4079,Account Issues,,,,,Account Issues
9/1/2021,Make should am doing this righ5 account/profile__cha nge_account_/_bank _details 1481,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 481,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 786,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 3807,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 370,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 569,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 123,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 28,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 200,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 1295,Account Issues,,,,,Account Issues
9/1/2021,I have no access to the money I need it! account/profile__cha nge_account_/_bank _details 1722,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 862,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 839,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 652,Account Issues,,,,,Account Issues
9/1/2021,Issue charging scooters today account/profile__cha nge_account_/_bank _details 189,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 226,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 361,Account Issues,,,,,Account Issues
9/1/2021,I have not received my payout for today account/profile__cha nge_account_/_bank _details 1289,Account Issues,,,,,Account Issues
9/1/2021,account/profile__cha nge_account_/_bank _details 506,Account Issues,,,,,Account Issues
9/1/2021,Trying to get my payment account/profile__cha nge_account_/_bank _details 794,Account Issues,,,,,Account Issues
9/1/2021,Re: Update account and payment account/profile__cha nge_account_/_bank _details 646,Account Issues,,,,,Account Issues
9/1/2021,I would like my account deleted account/profile__del eting_account 326,Account Issues,,,,,Account Issues
9/1/2021,Fwd: Li data erasure request ‐ from Rajas Gandhi ‐ request: 3Z774RXU account/profile__del eting_account 99,Account Issues,,,,,Account Issues
9/1/2021,account/profile__del eting_account 4,Account Issues,,,,,Account Issues
9/1/2021,account/profile__del eting_account 9,Account Issues,,,,,Account Issues
9/1/2021,Want to close my account account/profile__del eting_account 387,Account Issues,,,,,Account Issues
