Date,Text,Time,categories_standard
"August 1, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 1, 2021",App/Ride  Starting a ride,0:36:00,App Issues
"August 1, 2021",Billing  Improper charge,0:00:42,Payments
"August 1, 2021",Other,0:00:00,Other
"August 1, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 1, 2021",Billing  Improper charge,0:00:00,Payments
"August 1, 2021",Damaged vehicle Brakes,0:00:35,Damaged Vehicle Issues
"August 1, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 1, 2021",Damaged vehicle Other,0:00:11,Damaged Vehicle Issues
"August 1, 2021",Other,0:00:00,Other
"August 1, 2021","Billing  Other, Improper charge",0:03:14,Payments
"August 1, 2021",App/Ride  Other,0:00:39,App Issues
"August 1, 2021","App/Ride  The scooter doesnt move, Ending a ride, Starting a ride",0:36:00,App Issues
"August 1, 2021",Billing  Other,0:00:00,Payments
"August 1, 2021",App/Ride  Ending a ride,0:04:51,App Issues
"August 1, 2021",Damaged vehicle Throttle,0:00:09,Damaged Vehicle Issues
"August 1, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 1, 2021",Other,0:08:02,Other
"August 1, 2021",App/Ride  Ending a ride,0:27:56,App Issues
"August 1, 2021",Damaged vehicle Throttle,0:00:06,Damaged Vehicle Issues
"August 1, 2021",,0:06:01,Other
"August 1, 2021",Other,0:07:15,Other
"August 2, 2021","App/Ride  Ending a ride, The scooter doesnt move",0:00:00,App Issues
"August 2, 2021","Billing  Credit / debit card not working, Improper charge",0:00:00,Payments
"August 2, 2021",App/Ride  Ending a ride,0:04:46,App Issues
"August 2, 2021","App/Ride  The scooter doesnt move, Starting a ride",0:00:00,App Issues
"August 2, 2021",App/Ride  Starting a ride,0:00:20,App Issues
"August 2, 2021",Damaged vehicle Other,0:00:00,Damaged Vehicle Issues
"August 2, 2021",App/Ride  Other,0:00:00,App Issues
"August 2, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 2, 2021",Billing  Other,0:00:00,Payments
"August 2, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 2, 2021",Other,1:07:23,Other
"August 2, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 2, 2021","App/Ride  Ending a ride, Signing in",0:01:38,App Issues
"August 2, 2021",Billing  Other,0:00:00,Payments
"August 2, 2021",Damaged vehicle Other,0:00:00,Damaged Vehicle Issues
"August 2, 2021",,0:00:00,Other
"August 2, 2021",Billing  Improper charge,0:04:07,Payments
"August 2, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 2, 2021","Damaged vehicle Kickstand, Other",0:00:36,Damaged Vehicle Issues
"August 3, 2021","Damaged vehicle Brakes, Throttle",0:00:00,Damaged Vehicle Issues
"August 3, 2021",Other,0:00:05,Other
"August 3, 2021",Other,0:00:00,Other
"August 3, 2021",Billing  Improper charge,0:00:22,Payments
